id,brand,model,year,fuel,kms,transmission,2door,color,type,displacement,hp,euro,price
63f48b782f3521e39f0e8012,Mercedes-Benz,C,2009,d,186712.0,0.0,0.0,gray,combi,,136,3,14500.0
637bd00f7b6f6b83d20c7eb2,Mercedes-Benz,ML,2009,d,210000.0,1.0,0.0,black,jeep,3200,224,,23555.0
6305114812d31f9a3d0e5622,Mercedes-Benz,ML,2011,d,260000.0,1.0,0.0,white,jeep,3000,233,5,28500.0
63f49246e95c0ca2180d4c42,Mercedes-Benz,C,1997,g,260000.0,0.0,0.0,blue,sedan,1800,125,3,2800.0
63613880d5bfc896610e6982,Mercedes-Benz,A,2003,d,182470.0,0.0,0.0,black,hatchback,1700,95,3,2500.0
63f794b64f3a61191102b6e7,Mercedes-Benz,C,2006,d,247000.0,0.0,0.0,gray,combi,2200,150,4,5800.0
61e714b58040935e0a368b54,Mercedes-Benz,B,2005,d,183000.0,1.0,0.0,gray,hatchback,2000,109,4,7499.0
63e280993d089eb5b10c2ae2,Mercedes-Benz,E,2004,d,256000.0,0.0,0.0,gray,sedan,2200,150,4,6299.0
640b64cee0cd29793306dec3,Mercedes-Benz,C,2003,d,192380.0,0.0,0.0,gray,combi,2200,122,4,4600.0
63d27326aa7d2eaa6d034c24,Mercedes-Benz,E,2007,d,233000.0,0.0,0.0,black,sedan,2200,170,5,11000.0
